name,output,confidence,reason,check_frame
087_千岛湖_住宿空间_裁剪分割__CV016_S025.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\087_千岛湖_住宿空间_裁剪分割__CV016_S025__裁切废料.mp4,0.7,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=4.9% h=69.8%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0026.jpg
088_千岛湖_住宿空间_裁剪分割__CV016_S026.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\088_千岛湖_住宿空间_裁剪分割__CV016_S026__裁切废料.mp4,0.95,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=5.4% h=69.7%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0027.jpg
089_千岛湖_住宿空间_裁剪分割__CV016_S027.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\089_千岛湖_住宿空间_裁剪分割__CV016_S027__裁切废料.mp4,0.9,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=74.6%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0028.jpg
090_千岛湖_住宿空间_裁剪分割__CV016_S028.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\090_千岛湖_住宿空间_裁剪分割__CV016_S028__裁切废料.mp4,0.9,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=73.3%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0029.jpg
092_千岛湖_住宿空间_裁剪分割__CV016_S030.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\092_千岛湖_住宿空间_裁剪分割__CV016_S030__裁切废料.mp4,0.95,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=56.7%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0031.jpg
094_千岛湖_住宿空间_裁剪分割__CV016_S032.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\094_千岛湖_住宿空间_裁剪分割__CV016_S032__裁切废料.mp4,0.9,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=74.6%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0033.jpg
001_千岛湖_民宿外观__S_V003_S013.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\民宿外观\裁切废料\001_千岛湖_民宿外观__S_V003_S013__裁切废料.mp4,0.7,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=10.4% h=70.0%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0034.jpg
002_千岛湖_民宿外观__S_V003_S014.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\民宿外观\裁切废料\002_千岛湖_民宿外观__S_V003_S014__裁切废料.mp4,0.86,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=62.5%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0035.jpg
001_千岛湖_湖景露台__S_V003_S020.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\湖景露台\裁切废料\001_千岛湖_湖景露台__S_V003_S020__裁切废料.mp4,0.86,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.8% h=62.5%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0036.jpg
001_千岛湖_酒店民宿房间__S_V003_S015.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\酒店民宿房间\裁切废料\001_千岛湖_酒店民宿房间__S_V003_S015__裁切废料.mp4,0.7,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=7.5% h=72.4%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0038.jpg
002_千岛湖_酒店民宿房间__S_V003_S016.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\酒店民宿房间\裁切废料\002_千岛湖_酒店民宿房间__S_V003_S016__裁切废料.mp4,0.58,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=80.3%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0039.jpg
003_千岛湖_酒店民宿房间__S_V003_S017.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\酒店民宿房间\裁切废料\003_千岛湖_酒店民宿房间__S_V003_S017__裁切废料.mp4,0.74,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=14.3% h=66.1%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0040.jpg
066_千岛湖_餐饮美食_裁剪分割__CV013_S008.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\裁切废料\066_千岛湖_餐饮美食_裁剪分割__CV013_S008__裁切废料.mp4,0.7,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=13.5% h=63.8%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0047.jpg
001_千岛湖_千岛湖鱼宴__S_V003_S030.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\千岛湖鱼宴\裁切废料\001_千岛湖_千岛湖鱼宴__S_V003_S030__裁切废料.mp4,0.95,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=16.8% h=63.6%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0050.jpg
001_千岛湖_水上乐园__S_V003_S004.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\水上乐园\裁切废料\001_千岛湖_水上乐园__S_V003_S004__裁切废料.mp4,0.58,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=79.5%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0051.jpg
210_千岛湖_玩水互动_裁剪分割__CV022_S004.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\210_千岛湖_玩水互动_裁剪分割__CV022_S004__裁切废料.mp4,0.58,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=70.8%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0055.jpg
211_千岛湖_玩水互动_裁剪分割__CV022_S005.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\211_千岛湖_玩水互动_裁剪分割__CV022_S005__裁切废料.mp4,0.58,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=71.2%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0056.jpg
212_千岛湖_玩水互动_裁剪分割__CV022_S006.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\212_千岛湖_玩水互动_裁剪分割__CV022_S006__裁切废料.mp4,0.58,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=66.7%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0057.jpg
213_千岛湖_玩水互动_裁剪分割__CV022_S007.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\213_千岛湖_玩水互动_裁剪分割__CV022_S007__裁切废料.mp4,0.7,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=4.5% h=66.3%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0058.jpg
214_千岛湖_玩水互动_裁剪分割__CV022_S008.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\214_千岛湖_玩水互动_裁剪分割__CV022_S008__裁切废料.mp4,0.7,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=6.0% h=64.8%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0059.jpg
217_千岛湖_玩水互动_裁剪分割__CV022_S011.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\217_千岛湖_玩水互动_裁剪分割__CV022_S011__裁切废料.mp4,0.82,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=52.9%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0063.jpg
218_千岛湖_玩水互动_裁剪分割__CV022_S012.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\218_千岛湖_玩水互动_裁剪分割__CV022_S012__裁切废料.mp4,0.86,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=53.3%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0064.jpg
219_千岛湖_玩水互动_裁剪分割__CV022_S013.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\219_千岛湖_玩水互动_裁剪分割__CV022_S013__裁切废料.mp4,0.86,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=52.9%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0065.jpg
220_千岛湖_玩水互动_裁剪分割__CV022_S014.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\220_千岛湖_玩水互动_裁剪分割__CV022_S014__裁切废料.mp4,0.58,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=70.8%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0066.jpg
226_千岛湖_玩水互动_裁剪分割__CV022_S020.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\226_千岛湖_玩水互动_裁剪分割__CV022_S020__裁切废料.mp4,0.7,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=9.5% h=52.4%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0072.jpg
231_千岛湖_玩水互动_裁剪分割__CV022_S025.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\231_千岛湖_玩水互动_裁剪分割__CV022_S025__裁切废料.mp4,0.58,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=1.9% h=69.3%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0077.jpg
232_千岛湖_玩水互动_裁剪分割__CV022_S026.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\232_千岛湖_玩水互动_裁剪分割__CV022_S026__裁切废料.mp4,0.74,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=70.8%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0078.jpg
