library,path,relative_path,width,height,duration,size_mb,mtime
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\003_千岛湖_游艇游湖__A_V005_S017.mp4,05_项目活动\游艇游湖\003_千岛湖_游艇游湖__A_V005_S017.mp4,720,418,1.2,0.206,2026-07-03T14:01:51
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\004_千岛湖_游艇游湖__A_V005_S018.mp4,05_项目活动\游艇游湖\004_千岛湖_游艇游湖__A_V005_S018.mp4,720,552,1.8,0.169,2026-07-03T14:01:52
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\005_千岛湖_游艇游湖__B_V005_S019.mp4,05_项目活动\游艇游湖\005_千岛湖_游艇游湖__B_V005_S019.mp4,720,552,1.6,0.067,2026-07-03T14:01:54
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\006_千岛湖_游艇游湖__A_V005_S020.mp4,05_项目活动\游艇游湖\006_千岛湖_游艇游湖__A_V005_S020.mp4,720,548,2.4,0.122,2026-07-03T14:01:57
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\007_千岛湖_游艇游湖__B_V005_S021.mp4,05_项目活动\游艇游湖\007_千岛湖_游艇游湖__B_V005_S021.mp4,720,544,1.367,0.049,2026-07-03T14:01:59
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\湖边骑行\002_千岛湖_湖边骑行__S_V005_S028.mp4,05_项目活动\湖边骑行\002_千岛湖_湖边骑行__S_V005_S028.mp4,720,544,2.267,0.485,2026-07-03T14:02:07
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\湖边骑行\003_千岛湖_湖边骑行__S_V005_S029.mp4,05_项目活动\湖边骑行\003_千岛湖_湖边骑行__S_V005_S029.mp4,720,538,4.367,0.757,2026-07-03T14:02:15
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\06_团队互动\团队合照\001_千岛湖_团队合照__S_V005_S030.mp4,06_团队互动\团队合照\001_千岛湖_团队合照__S_V005_S030.mp4,720,444,4.367,0.712,2026-07-03T14:02:31
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\06_团队互动\团队合照\002_千岛湖_团队合照__S_V005_S031.mp4,06_团队互动\团队合照\002_千岛湖_团队合照__S_V005_S031.mp4,720,458,5.167,1.039,2026-07-03T14:02:34
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\07_烧烤露营夜场\烧烤\003_千岛湖_烧烤__S_V003_S024.mp4,07_烧烤露营夜场\烧烤\003_千岛湖_烧烤__S_V003_S024.mp4,720,620,0.6,0.198,2026-07-03T14:02:41
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\07_烧烤露营夜场\烧烤\006_千岛湖_烧烤__S_V005_S024.mp4,07_烧烤露营夜场\烧烤\006_千岛湖_烧烤__S_V005_S024.mp4,720,552,0.733,0.209,2026-07-03T14:02:46
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\07_烧烤露营夜场\烧烤\007_千岛湖_烧烤__S_V005_S025.mp4,07_烧烤露营夜场\烧烤\007_千岛湖_烧烤__S_V005_S025.mp4,720,552,1.833,0.504,2026-07-03T14:02:48
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\07_烧烤露营夜场\篝火\001_千岛湖_篝火__B_V005_S026.mp4,07_烧烤露营夜场\篝火\001_千岛湖_篝火__B_V005_S026.mp4,720,548,1.867,0.254,2026-07-03T14:02:49
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\07_烧烤露营夜场\露营\001_千岛湖_露营__B_V005_S023.mp4,07_烧烤露营夜场\露营\001_千岛湖_露营__B_V005_S023.mp4,720,552,1.1,0.08,2026-07-03T14:02:51
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\07_烧烤露营夜场\露营吃东西\002_千岛湖_露营吃东西__A_V011_S001.mp4,07_烧烤露营夜场\露营吃东西\002_千岛湖_露营吃东西__A_V011_S001.mp4,1080,1038,1.2,0.537,2026-07-03T14:02:54
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\10_收尾返程\返程大巴\001_千岛湖_返程大巴__S_V005_S033.mp4,10_收尾返程\返程大巴\001_千岛湖_返程大巴__S_V005_S033.mp4,720,548,3.9,0.576,2026-07-03T14:02:57
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉景区入口\001_安吉_安吉景区入口__S_V001_S010.mp4,01_环境空镜\安吉景区入口\001_安吉_安吉景区入口__S_V001_S010.mp4,720,422,1.667,0.36,2026-07-03T14:02:58
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉景区入口\002_安吉_安吉景区入口__S_V003_S005.mp4,01_环境空镜\安吉景区入口\002_安吉_安吉景区入口__S_V003_S005.mp4,720,386,1.7,0.302,2026-07-03T14:03:00
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景\001_安吉_安吉风景__S_V001_S007.mp4,01_环境空镜\安吉风景\001_安吉_安吉风景__S_V001_S007.mp4,720,410,1.967,0.301,2026-07-03T14:03:02
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景\002_安吉_安吉风景__S_V001_S033.mp4,01_环境空镜\安吉风景\002_安吉_安吉风景__S_V001_S033.mp4,720,410,3.267,0.29,2026-07-03T14:03:04
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景\003_安吉_安吉风景__S_V001_S034.mp4,01_环境空镜\安吉风景\003_安吉_安吉风景__S_V001_S034.mp4,720,414,3.9,0.281,2026-07-03T14:03:07
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景\004_安吉_安吉风景__S_V001_S035.mp4,01_环境空镜\安吉风景\004_安吉_安吉风景__S_V001_S035.mp4,720,406,1.8,0.072,2026-07-03T14:03:08
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景\005_安吉_安吉风景__S_V003_S001.mp4,01_环境空镜\安吉风景\005_安吉_安吉风景__S_V003_S001.mp4,720,380,2.433,0.233,2026-07-03T14:03:10
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景\006_安吉_安吉风景__S_V003_S027.mp4,01_环境空镜\安吉风景\006_安吉_安吉风景__S_V003_S027.mp4,720,446,4.567,0.166,2026-07-03T14:03:13
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景\007_安吉_安吉风景__S_V003_S028.mp4,01_环境空镜\安吉风景\007_安吉_安吉风景__S_V003_S028.mp4,720,388,0.7,0.031,2026-07-03T14:03:14
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景\008_安吉_安吉风景__S_V004_S001.mp4,01_环境空镜\安吉风景\008_安吉_安吉风景__S_V004_S001.mp4,1080,750,1.233,0.342,2026-07-03T14:03:16
