"name","output","confidence","rect","reason"
"077_千岛湖_住宿空间_裁剪分割__CV016_S015.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\077_千岛湖_住宿空间_裁剪分割__CV016_S015__裁切废料.mp4","0.7","@{x=0; y=17.898; w=100; h=56.713}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=56.7%（含黑边检测）"
"078_千岛湖_住宿空间_裁剪分割__CV016_S016.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\078_千岛湖_住宿空间_裁剪分割__CV016_S016__裁切废料.mp4","0.58","@{x=0; y=0.0; w=100; h=74.611}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=74.6%（含黑边检测）"
"079_千岛湖_住宿空间_裁剪分割__CV016_S017.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\079_千岛湖_住宿空间_裁剪分割__CV016_S017__裁切废料.mp4","0.86","@{x=0; y=8.589; w=100; h=66.022}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=8.6% h=66.0%（含黑边检测）"
"080_千岛湖_住宿空间_裁剪分割__CV016_S018.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\080_千岛湖_住宿空间_裁剪分割__CV016_S018__裁切废料.mp4","0.86","@{x=0; y=7.932; w=100; h=64.38}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=7.9% h=64.4%（含黑边检测）"
"080_千岛湖_住宿空间_裁剪分割__CV016_S018__深度修复.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\080_千岛湖_住宿空间_裁剪分割__CV016_S018__深度修复__裁切废料.mp4","0.86","@{x=0; y=8.097; w=100; h=64.379}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=8.1% h=64.4%（含黑边检测）"
"081_千岛湖_住宿空间_裁剪分割__CV016_S019.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\081_千岛湖_住宿空间_裁剪分割__CV016_S019__裁切废料.mp4","0.86","@{x=0; y=17.62; w=100; h=57.319}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.6% h=57.3%（含黑边检测）"
"082_千岛湖_住宿空间_裁剪分割__CV016_S020.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\082_千岛湖_住宿空间_裁剪分割__CV016_S020__裁切废料.mp4","0.86","@{x=0; y=8.589; w=100; h=66.679}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=8.6% h=66.7%（含黑边检测）"
"083_千岛湖_住宿空间_裁剪分割__CV016_S021.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\083_千岛湖_住宿空间_裁剪分割__CV016_S021__裁切废料.mp4","0.95","@{x=0; y=17.898; w=100; h=56.713}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=56.7%（含黑边检测）"
"084_千岛湖_住宿空间_裁剪分割__CV016_S022.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\084_千岛湖_住宿空间_裁剪分割__CV016_S022__裁切废料.mp4","0.7","@{x=0; y=15.764; w=100; h=55.563}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=15.8% h=55.6%（含黑边检测）"
"085_千岛湖_住宿空间_裁剪分割__CV016_S023.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\085_千岛湖_住宿空间_裁剪分割__CV016_S023__裁切废料.mp4","0.7","@{x=0; y=3.284; w=100; h=68.207}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=3.3% h=68.2%（含黑边检测）"
"086_千岛湖_住宿空间_裁剪分割__CV016_S024.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\086_千岛湖_住宿空间_裁剪分割__CV016_S024__裁切废料.mp4","0.7","@{x=0; y=6.24; w=100; h=65.251}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=6.2% h=65.3%（含黑边检测）"
"087_千岛湖_住宿空间_裁剪分割__CV016_S025.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\087_千岛湖_住宿空间_裁剪分割__CV016_S025__裁切废料.mp4","0.7","@{x=0; y=4.926; w=100; h=69.849}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=4.9% h=69.8%（含黑边检测）"
"088_千岛湖_住宿空间_裁剪分割__CV016_S026.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\088_千岛湖_住宿空间_裁剪分割__CV016_S026__裁切废料.mp4","0.95","@{x=0; y=5.419; w=100; h=69.684}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=5.4% h=69.7%（含黑边检测）"
"089_千岛湖_住宿空间_裁剪分割__CV016_S027.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\089_千岛湖_住宿空间_裁剪分割__CV016_S027__裁切废料.mp4","0.9","@{x=0; y=0.0; w=100; h=74.611}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=74.6%（含黑边检测）"
"090_千岛湖_住宿空间_裁剪分割__CV016_S028.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\090_千岛湖_住宿空间_裁剪分割__CV016_S028__裁切废料.mp4","0.9","@{x=0; y=0.0; w=100; h=73.297}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=73.3%（含黑边检测）"
"091_千岛湖_住宿空间_裁剪分割__CV016_S029.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\091_千岛湖_住宿空间_裁剪分割__CV016_S029__裁切废料.mp4","0.9","@{x=0; y=0.0; w=100; h=74.447}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=74.4%（含黑边检测）"
"092_千岛湖_住宿空间_裁剪分割__CV016_S030.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\092_千岛湖_住宿空间_裁剪分割__CV016_S030__裁切废料.mp4","0.95","@{x=0; y=17.898; w=100; h=56.713}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=56.7%（含黑边检测）"
"093_千岛湖_住宿空间_裁剪分割__CV016_S031.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\093_千岛湖_住宿空间_裁剪分割__CV016_S031__裁切废料.mp4","0.9","@{x=0; y=17.456; w=100; h=57.155}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.5% h=57.2%（含黑边检测）"
"094_千岛湖_住宿空间_裁剪分割__CV016_S032.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\094_千岛湖_住宿空间_裁剪分割__CV016_S032__裁切废料.mp4","0.9","@{x=0; y=0.0; w=100; h=74.611}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=74.6%（含黑边检测）"
"001_千岛湖_民宿外观__S_V003_S013.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\民宿外观\裁切废料\001_千岛湖_民宿外观__S_V003_S013__裁切废料.mp4","0.7","@{x=0; y=10.414; w=100; h=69.984}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=10.4% h=70.0%（含黑边检测）"
"002_千岛湖_民宿外观__S_V003_S014.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\民宿外观\裁切废料\002_千岛湖_民宿外观__S_V003_S014__裁切废料.mp4","0.86","@{x=0; y=17.891; w=100; h=62.507}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=62.5%（含黑边检测）"
"001_千岛湖_湖景露台__S_V003_S020.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\湖景露台\裁切废料\001_千岛湖_湖景露台__S_V003_S020__裁切废料.mp4","0.86","@{x=0; y=17.755; w=100; h=62.509}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.8% h=62.5%（含黑边检测）"
"002_千岛湖_湖景露台__S_V003_S021.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\湖景露台\裁切废料\002_千岛湖_湖景露台__S_V003_S021__裁切废料.mp4","0.95","@{x=0; y=16.821; w=100; h=63.577}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=16.8% h=63.6%（含黑边检测）"
"001_千岛湖_酒店民宿房间__S_V003_S015.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\酒店民宿房间\裁切废料\001_千岛湖_酒店民宿房间__S_V003_S015__裁切废料.mp4","0.7","@{x=0; y=7.477; w=100; h=72.387}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=7.5% h=72.4%（含黑边检测）"
"002_千岛湖_酒店民宿房间__S_V003_S016.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\酒店民宿房间\裁切废料\002_千岛湖_酒店民宿房间__S_V003_S016__裁切废料.mp4","0.58","@{x=0; y=0.0; w=100; h=80.264}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=80.3%（含黑边检测）"
"003_千岛湖_酒店民宿房间__S_V003_S017.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\酒店民宿房间\裁切废料\003_千岛湖_酒店民宿房间__S_V003_S017__裁切废料.mp4","0.74","@{x=0; y=14.284; w=100; h=66.114}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=14.3% h=66.1%（含黑边检测）"
"045_千岛湖_餐饮美食_裁剪分割__CV008_S003.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\裁切废料\045_千岛湖_餐饮美食_裁剪分割__CV008_S003__裁切废料.mp4","0.86","@{x=0; y=17.929; w=100; h=46.915}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=46.9%（含黑边检测）"
"046_千岛湖_餐饮美食_裁剪分割__CV008_S004.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\裁切废料\046_千岛湖_餐饮美食_裁剪分割__CV008_S004__裁切废料.mp4","0.9","@{x=0; y=0.0; w=100; h=64.998}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=65.0%（含黑边检测）"
"047_千岛湖_餐饮美食_裁剪分割__CV008_S005.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\裁切废料\047_千岛湖_餐饮美食_裁剪分割__CV008_S005__裁切废料.mp4","0.95","@{x=0; y=13.601; w=100; h=51.707}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=13.6% h=51.7%（含黑边检测）"
"048_千岛湖_餐饮美食_裁剪分割__CV008_S006.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\裁切废料\048_千岛湖_餐饮美食_裁剪分割__CV008_S006__裁切废料.mp4","0.95","@{x=0; y=10.474; w=100; h=65.035}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=10.5% h=65.0%（含黑边检测）"
"049_千岛湖_餐饮美食_裁剪分割__CV008_S007.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\裁切废料\049_千岛湖_餐饮美食_裁剪分割__CV008_S007__裁切废料.mp4","0.95","@{x=0; y=6.491; w=100; h=73.191}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=6.5% h=73.2%（含黑边检测）"
"065_千岛湖_餐饮美食_裁剪分割__CV013_S007.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\裁切废料\065_千岛湖_餐饮美食_裁剪分割__CV013_S007__裁切废料.mp4","0.7","@{x=0; y=17.942; w=100; h=53.768}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=53.8%（含黑边检测）"
"066_千岛湖_餐饮美食_裁剪分割__CV013_S008.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\裁切废料\066_千岛湖_餐饮美食_裁剪分割__CV013_S008__裁切废料.mp4","0.7","@{x=0; y=13.456; w=100; h=63.795}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=13.5% h=63.8%（含黑边检测）"
